65984,4.2,34
65985,3.2,6
65986,2.9,15
65987,7.5,306
65988,7.6,31005
65989,6,927
65991,6.6,102
65992,5.8,150
65994,6.2,219
65995,4.9,9
65999,6.8,475
66001,5.9,904
66002,5.5,400
66004,6.4,24
66006,6,217
66007,5.2,57
66009,5.5,29
66011,6.9,27692
66013,6.6,16
66015,5.8,414
66016,6.6,1011
66017,6,479
66018,7.2,19
66020,6.6,206
66022,6,9
66023,6.3,29
66024,5.5,47
66025,5.3,35
66026,7.5,64146
66027,6.7,56
66031,7.1,737
66032,5.5,48
66033,5.2,235
66034,5.1,200
66035,6.8,141
66036,6.5,122
66037,8,6
66038,4.1,27
66040,6.8,1905
66041,6.5,114
66042,6.8,36
66043,7.2,208
66045,6.1,108
66048,6,9
66049,6.9,7661
66050,5.9,993
66052,5.7,103
66053,6.4,1837
66056,4.1,24
66058,4.6,278
66063,4.9,227
66064,6.5,1324
66066,4.3,22
66067,6.9,49
66070,8,4276
66071,4.6,65
66072,5.9,7
66073,5,7
66075,6.8,201
66076,5.7,11
66077,5.2,51
66078,8.4,5945
66080,6.2,613
66081,6.2,43
66082,3.8,16
66083,4.9,61
66085,6.8,12
66086,5.9,64
66087,3,6
66089,7.1,11
66090,6.9,3071
66091,8.2,8
66093,7.1,2223
66094,5.3,14
66095,4.8,68
66096,5.9,370
